Метод,Accuracy,Precision,Recall,F1-score,ROC-AUC,PR-AUC
Baseline,0.9991573329588147,0.8289473684210527,0.6428571428571429,0.7241379310344828,0.9558983554029378,0.7431691767832421
Class Weight,0.9755275446789088,0.06097560975609756,0.9183673469387755,0.11435832274459974,0.9721687370080279,0.7159122424484009
SMOTE,0.9742108774270566,0.058027079303675046,0.9183673469387755,0.1091570648878108,0.9698631105509169,0.7249139606556327
Random UnderSampling,0.9603244268108564,0.03842869342442357,0.9183673469387755,0.07377049180327869,0.975947086065715,0.6778359177367467
Random Forest,0.9995259997893332,0.961038961038961,0.7551020408163265,0.8457142857142858,0.9571772751025001,0.8596719872389349
